repo_id,label,group,group_name,target_block_count,residual_idx,mixed_mass,forced_mix_l1,forced_mix_l1_per_mixed_mass,observed_attn_share,count_attn_share
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,19,0.8388861168206223,0.03729994086230673,0.04446365259169323,0.47776817370415336,0.5
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,20,0.9558062572789385,0.04814821711885248,0.050374452722170344,0.5013910039748601,0.5
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,21,0.9372499916490501,0.04498749620061576,0.047999462898326885,0.5142138255444468,0.5364990207310764
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,22,0.9552495758980512,0.03881912861715975,0.040637682126856776,0.4960516393809851,0.5
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,23,0.9379836877853405,0.05768593721152324,0.0614999364730155,0.511311859294538,0.5291565463790218
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,24,0.9470736174352044,0.07889566514489613,0.08330468053640393,0.517645618597404,0.5
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,25,0.8492157462590595,0.039730531897971294,0.04678496845235275,0.5026657329476778,0.5
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,26,0.9544482883368808,0.054072178642803205,0.05665281116174831,0.4972530138643873,0.5
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,27,0.9486332321766673,0.059495906514648145,0.06271750187175397,0.5301907385924078,0.5337979510402486
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,28,0.955994920683949,0.061904274063502865,0.06475376879535573,0.47500638450844873,0.5
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,29,0.9505611347655455,0.08178970977300556,0.08604360811909155,0.5350403967589024,0.530882547806892
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,30,0.9591321836006108,0.08916788567917618,0.09296725436158057,0.4701812103834432,0.5
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,31,0.8888108416998047,0.07198694731464718,0.08099242711416062,0.5029176203107071,0.5
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,32,0.9613880741796115,0.07869349127801932,0.08185403313346842,0.4771844815490922,0.5
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,33,0.9559882651575333,0.07201800163492042,0.0753335624083763,0.5349943896314059,0.5323348301029378
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,34,0.9628165479961449,0.09262589110833838,0.09620305270107307,0.4562682052521865,0.5
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,35,0.9649227852138077,0.063963570809219,0.06628879718603177,0.5381480297954513,0.5305846021227738
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,36,0.9731877625624582,0.10323380050438687,0.10607798872497785,0.45007624778842253,0.5
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,37,0.928879486639204,0.07487410467451182,0.0806069094554076,0.5059193071468493,0.5
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,38,0.9767599395453567,0.13334352567761648,0.13651616971482536,0.4388917311764137,0.5
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,39,0.9682651967249387,0.11232740553928823,0.11600892598352659,0.5094526281780075,0.5228002056886154
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,40,0.9793940053086698,0.1343276784035975,0.13715387032746054,0.4390273845085899,0.5
